token_name,total_positive_direct_mentions,total_negative_direct_mentions,total_positive_indirect_mentions,total_negative_indirect_mentions,soft_cap,ico_success
KXA,3053,1936,40100,28684,100000.0,1.0
MGA,2905,917,24796,25392,2850000.0,1.0
BICO,933,596,6544,6221,21100000.0,1.0
NEXT,1494,1902,3711,2196,3040000.0,0.0
UMAD,273,189,2426,2077,7540000.0,1.0
WIS,3319,1803,13377,31842,400000.0,1.0
ZODI,178,304,1733,866,3700000.0,1.0
XTAG,3510,2489,39578,29198,2900000.0,1.0
ILA,1848,930,11342,10332,2200000.0,1.0
NODL,637,541,7196,6401,25870000.0,1.0
PEOPLE,6327,2629,23383,24182,20000000.0,0.0
ORARE,840,812,6217,4642,2260000.0,1.0
TRVL,797,315,2655,5316,7500000.0,1.0
RIDE,4154,6838,53561,25458,6000000.0,1.0
NTX,949,1229,13324,8523,2000000.0,1.0
MONO,5320,3187,37851,54353,5400000.0,1.0
MONO,2998,5854,6706,13836,190000.0,0.0
BLH,72,136,1332,926,910000.0,0.0
WX,246,408,6569,3690,50000000.0,1.0
MS,2683,2373,21169,37760,2000000.0,1.0
ZKP,1057,935,5462,3848,40000000.0,1.0
GOV,462,1809,10097,5964,2270000.0,0.0
GOV,1566,1664,4068,7198,15000000.0,1.0
CHICKS,2129,6106,99637,66418,140000.0,1.0
CRAFT,524,440,18609,7623,2580000.0,1.0
KAKA,4234,3719,36759,49592,2350000.0,1.0
ANTEX,2820,3154,17915,8754,5510000.0,1.0
LORDA,1304,602,8951,8331,1700000.0,1.0
APR,453,358,2065,2765,12800000.0,1.0
NGL,1483,847,15738,13276,1490000.0,1.0
TITA,3609,1762,36712,59343,2270000.0,0.0
TRD,917,854,4281,3858,100000.0,1.0
AURORA,732,716,6678,7095,13000000.0,1.0
LIBRE,1203,787,3984,5965,870000.0,1.0
POG,1345,1983,32811,13788,1800000.0,1.0
GENE,2636,3577,35809,44450,8660000.0,1.0
GOG,4110,1924,27976,17279,5500000.0,1.0
PLN,456,552,3378,1149,8000000.0,1.0
MYRA,519,441,5493,9049,250000.0,1.0
PORTO,1163,1430,8109,9655,4000000.0,1.0
SOURCE,355,88,1370,2742,5360000.0,1.0
UXP,97,122,852,780,60090000.0,0.0
PLACE,5077,3547,45466,35679,1940000.0,1.0
NUM,946,1419,53390,39576,7200000.0,1.0
CWAR,2965,3103,29480,26391,3680000.0,1.0
XPRESS,356,233,1481,1822,2250000.0,1.0
OLY,3753,1537,47388,16369,140000.0,1.0
KART,734,242,2122,5198,1810000.0,1.0
VEE,872,754,842,1041,8800000.0,0.0
